OBS_TIME_LOC,Byron Bay (Belongil Creek),Clarrie Hall Dam (Doon Doon Creek),Doon Doon (Mccabes Road),Dunoon,Goonengerry,Lacks Creek (Middle Pocket),Mullumbimby (Chincogan ),Mullumbimby (Upper Main Arm),Mullumbimby Creek (Mullumbimby Ck),Myocum,Repentance (Coopers Creek),The Channon,Uki (Tweed River)
2005-11-28,32.25,29.5,5.5,6.0,15.5,18.0,2.0,25.0,17.5,28.75,10.25,6.0,12.0
2005-11-29,1.0,2.5,6.0,4.0,4.0,4.0,3.0,5.0,6.5,3.75,4.75,3.5,0.5
2005-11-30,0.0,1.5,0.0,2.0,0.0,0.0,1.0,1.0,1.5,4.0,0.0,0.5,0.5
2005-12-01,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,6.0,0.0,0.0,2.0
2005-12-02,14.25,1.0,3.25,2.5,0.5,28.0,7.25,4.0,1.5,1.0,0.0,5.0,6.75
2005-12-03,18.75,13.25,14.75,5.5,6.0,51.0,19.75,5.75,2.5,31.0,5.0,7.0,16.75
2005-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-08,7.0,0.25,16.0,8.5,13.0,17.0,3.5,8.0,3.25,17.5,8.5,5.5,12.0
2005-12-09,24.0,21.75,19.0,17.0,13.0,25.0,22.5,21.0,-2025.25,44.5,28.25,26.5,17.0
2005-12-10,0.0,1.0,3.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.25,1.0,2.0
2005-12-11,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-12,0.0,0.0,0.75,0.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2005-12-15,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,5.0
2005-12-16,16.0,6.75,-2020.5,6.75,12.0,19.0,17.0,2.0,13.0,14.0,7.5,6.0,12.5
2005-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2005-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,519.5
2006-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-03,0.0,0.0,0.0,0.25,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-04,16.0,13.5,10.0,26.75,10.0,5.0,7.75,10.0,5.0,12.0,16.0,26.0,15.0
2006-01-05,0.0,1.5,1.0,2.5,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
2006-01-06,74.75,26.0,49.5,26.5,23.0,46.0,39.75,60.0,30.75,36.5,13.75,31.0,21.75
2006-01-07,13.25,43.0,33.25,12.5,18.0,18.0,17.25,29.0,18.25,12.0,14.75,18.0,51.0
2006-01-08,24.5,22.75,71.25,42.5,41.5,14.25,21.0,43.0,32.5,30.5,29.0,45.0,35.25
2006-01-09,40.0,45.5,66.0,50.5,48.5,35.75,39.25,47.0,22.25,38.0,42.5,73.0,51.5
2006-01-10,92.5,26.25,35.0,20.0,33.5,26.5,28.75,40.0,24.5,38.0,38.0,17.0,26.0
2006-01-11,22.0,17.5,12.0,11.5,14.5,22.5,20.0,26.25,14.75,14.0,16.0,7.25,16.5
2006-01-12,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.75,0.0,0.0,0.0,2.75,0.0
2006-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2006-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-19,304.75,41.25,79.25,140.5,-1722.75,-1823.0,226.75,72.0,146.5,206.5,153.0,102.5,31.5
2006-01-20,90.0,80.0,93.0,173.0,52.5,108.5,128.75,118.5,140.0,217.0,164.75,135.0,71.5
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-490.0,204.0
2006-01-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2006-01-27,0.0,0.0,1.0,2.0,0.25,0.0,0.0,2.25,1.0,1.0,2.0,2.0,2.5
2006-02-08,2.75,2.5,17.75,5.0,8.75,4.5,6.0,11.5,3.0,6.0,10.5,10.25,2.0
2006-02-09,0.25,2.0,3.5,1.75,2.0,0.0,1.0,1.5,0.0,2.0,1.5,1.5,-1409.0
2006-02-12,6.5,19.5,0.5,19.5,7.5,6.0,5.0,5.0,1.0,6.25,4.0,4.0,26.25
2006-02-13,7.0,21.75,5.5,27.5,10.25,9.0,5.5,3.0,2.0,6.75,7.25,41.0,33.75
2006-02-14,0.0,0.75,0.0,2.5,0.25,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
2006-02-15,6.75,21.0,13.0,15.0,3.0,27.0,5.5,20.5,2.75,18.0,6.0,6.25,24.5
2006-02-16,8.25,22.0,19.5,3.0,17.75,11.5,50.75,25.5,18.25,36.0,7.0,6.75,30.5
2006-02-17,0.0,0.5,2.5,0.5,1.25,0.5,1.75,0.5,1.0,0.0,0.5,1.0,1.0
2006-02-22,2.0,10.0,9.0,8.75,11.0,0.0,4.0,11.75,4.75,3.0,7.0,13.0,5.0
2006-02-23,1.0,1.0,10.0,2.25,5.0,6.0,11.0,4.75,2.25,1.0,3.0,12.5,5.0
2006-02-24,1.0,4.5,8.0,15.25,3.5,16.5,9.0,10.0,0.0,6.25,11.0,5.5,12.5
2006-02-27,-1957.0,336.0,18.0,2.5,13.75,3.25,19.5,14.0,12.0,60.0,7.5,14.5,20.5
2006-02-28,9.25,44.75,30.0,11.5,18.0,28.25,18.5,31.0,13.0,15.0,25.5,21.5,39.25
2006-03-01,4.25,11.25,15.5,14.0,7.5,9.0,6.0,7.25,7.5,1.0,9.75,13.0,12.25
2006-03-02,3.5,4.0,6.75,3.0,5.5,0.5,1.0,7.75,2.5,4.0,3.25,-183.0,6.5
2006-03-03,26.5,33.5,62.5,41.0,60.5,24.5,41.5,61.5,45.0,52.0,43.75,42.5,52.0
